product_id,product_name,category,subcategory,brand,unit_cost,list_price,is_active
59,Suffer Skincare,Beauty,Skincare,Umbrella,54.4,82.14,1
60,Big Fiction,Books,Fiction,Wayne,32.73,55.15,1
61,Key Fitnes,Sports,Fitness,Soylent,82.18,148.89,1
62,Fall Furniture,Home & Garden,Furniture,Globex,99.56,169.53,1
63,Stuff Educational,Toys,Educational,Umbrella,95.03,145.49,1
64,Third Children,Books,Children,Stark,61.81,92.38,1
65,Reveal Outdoor Rec,Sports,Outdoor Rec,Soylent,48.19,75.96,1
66,Magazine Children,Books,Children,Stark,88.85,161.14,1
67,Of Women,Apparel,Women,Soylent,85.94,169.93,1
68,Similar Non-Fiction,Books,Non-Fiction,Hooli,27.94,51.74,1
69,Herself Men,Apparel,Men,Initech,31.57,50.83,1
70,Red Beverage,Grocery,Beverages,Globex,20.72,37.8,1
71,Ask Fiction,Books,Fiction,Initech,10.21,16.95,1
72,Ten Audio,Electronics,Audio,Soylent,10.52,20.27,1
73,See Women,Apparel,Women,Umbrella,60.73,113.15,1
74,Keep Team Sport,Sports,Team Sports,Hooli,8.45,16.46,1
75,Worry Kid,Apparel,Kids,Wayne,63.17,91.94,1
76,Almost Women,Apparel,Women,Globex,38.89,75.13,1
77,Probably Kid,Apparel,Kids,Soylent,52.58,81.95,1
78,Wall Women,Apparel,Women,Globex,49.28,88.02,0
79,Service Non-Fiction,Books,Non-Fiction,Soylent,58.02,79.17,1
80,Drop Accessorie,Electronics,Accessories,Globex,99.9,130.35,1
81,Decade Fiction,Books,Fiction,Soylent,46.95,68.79,1
82,Money Phone,Electronics,Phones,Globex,84.62,161.82,1
83,Authority Haircare,Beauty,Haircare,Initech,19.67,27.73,1
84,Pressure Kitchen,Home & Garden,Kitchen,Globex,4.51,5.86,1
85,Not Beverage,Grocery,Beverages,Hooli,29.18,52.08,1
86,Husband Laptop,Electronics,Laptops,Globex,91.81,139.47,0
87,Head Skincare,Beauty,Skincare,Stark,36.11,65.19,1
88,Mouth Men,Apparel,Men,Acme,83.51,150.14,0
89,Wife Audio,Electronics,Audio,Wayne,35.88,48.73,1
90,Front Men,Apparel,Men,Hooli,58.5,89.48,1
91,Avoid Outdoor,Home & Garden,Outdoor,Stark,42.4,78.28,1
92,Against Non-Fiction,Books,Non-Fiction,Wayne,61.87,98.5,1
93,Case Action Figure,Toys,Action Figures,Acme,17.52,28.57,1
94,See Decor,Home & Garden,Decor,Acme,33.03,62.94,1
95,Use Haircare,Beauty,Haircare,Globex,75.38,124.39,1
96,Safe Non-Fiction,Books,Non-Fiction,Initech,85.72,164.23,1
97,Skill Fiction,Books,Fiction,Globex,79.95,120.73,1
98,Available Board Game,Toys,Board Games,Soylent,5.04,6.82,1
99,Tax Action Figure,Toys,Action Figures,Initech,91.32,121.4,1
100,Significant Beverage,Grocery,Beverages,Stark,89.1,132.21,1
101,Fight Makeup,Beauty,Makeup,Stark,75.42,131.0,1
102,Institution Beverage,Grocery,Beverages,Acme,79.72,104.68,1
103,Future Phone,Electronics,Phones,Soylent,34.86,48.34,1
104,Ever Snack,Grocery,Snacks,Soylent,42.84,63.25,1
105,Note Kitchen,Home & Garden,Kitchen,Globex,9.09,16.43,1
106,Walk Accessorie,Electronics,Accessories,Globex,97.66,172.04,1
107,Book Phone,Electronics,Phones,Stark,44.63,60.45,1
108,Organization Board Game,Toys,Board Games,Umbrella,48.82,86.42,1
109,System Non-Fiction,Books,Non-Fiction,Acme,42.88,58.89,1
110,Space Footwear,Apparel,Footwear,Acme,78.99,120.52,1
111,Region Snack,Grocery,Snacks,Soylent,10.79,20.31,1
112,Describe Men,Apparel,Men,Soylent,3.53,5.7,1
113,Consumer Kitchen,Home & Garden,Kitchen,Hooli,97.47,151.45,1
114,Take Beverage,Grocery,Beverages,Hooli,49.78,66.31,1
115,Compare Women,Apparel,Women,Umbrella,80.44,114.53,1
116,Tv Kid,Apparel,Kids,Initech,22.91,45.03,1
117,Whole Outdoor,Home & Garden,Outdoor,Soylent,95.35,173.7,1
118,Age Team Sport,Sports,Team Sports,Stark,95.51,155.18,1
119,Street Phone,Electronics,Phones,Wayne,19.55,35.96,1
120,Suffer Makeup,Beauty,Makeup,Hooli,69.74,121.32,1
121,Include Phone,Electronics,Phones,Wayne,20.11,37.04,1
122,World Furniture,Home & Garden,Furniture,Acme,54.62,86.87,1
123,Audience Laptop,Electronics,Laptops,Acme,37.69,70.73,1
124,Head Pantry,Grocery,Pantry,Hooli,19.34,25.78,1
125,Conference Fiction,Books,Fiction,Wayne,24.97,38.96,1
126,Return Kid,Apparel,Kids,Hooli,14.96,24.04,1
127,Free Pantry,Grocery,Pantry,Hooli,43.09,85.65,1
128,Trade Board Game,Toys,Board Games,Umbrella,86.39,168.17,1
129,All Laptop,Electronics,Laptops,Hooli,78.71,115.74,1
130,Base Fitnes,Sports,Fitness,Initech,81.51,141.27,1
131,Plan Makeup,Beauty,Makeup,Acme,7.46,12.57,1
132,Talk Skincare,Beauty,Skincare,Soylent,62.42,105.58,1
133,Bar Fiction,Books,Fiction,Umbrella,82.27,137.81,1
134,Left Skincare,Beauty,Skincare,Acme,76.2,151.45,1
135,Meet Board Game,Toys,Board Games,Umbrella,31.41,47.15,1
136,Play Fitnes,Sports,Fitness,Acme,76.38,114.09,1
137,Window Board Game,Toys,Board Games,Soylent,72.31,94.07,1
138,Mrs Beverage,Grocery,Beverages,Umbrella,57.83,109.55,1
139,Seem Audio,Electronics,Audio,Acme,30.42,58.36,1
140,Letter Board Game,Toys,Board Games,Stark,56.78,83.46,1
141,Organization Outdoor,Home & Garden,Outdoor,Initech,66.52,113.34,1
142,Former Beverage,Grocery,Beverages,Acme,38.73,77.4,1
143,Against Audio,Electronics,Audio,Globex,92.35,171.45,1
144,Throw Action Figure,Toys,Action Figures,Acme,34.86,57.08,1
145,Firm Outdoor,Home & Garden,Outdoor,Initech,32.82,51.46,1
146,Man Accessorie,Electronics,Accessories,Initech,18.89,28.72,1
147,Push Kitchen,Home & Garden,Kitchen,Acme,10.08,19.05,1
148,School Educational,Toys,Educational,Soylent,27.53,37.34,1
149,Almost Children,Books,Children,Acme,76.79,141.47,1
150,Activity Women,Apparel,Women,Globex,98.39,170.77,1
151,Traditional Skincare,Beauty,Skincare,Globex,52.75,81.83,1
152,Instead Women,Apparel,Women,Acme,5.14,9.25,1
153,Cover Audio,Electronics,Audio,Wayne,74.29,116.01,1
154,Challenge Fitnes,Sports,Fitness,Hooli,80.82,113.78,1
155,Future Outdoor,Home & Garden,Outdoor,Stark,57.49,110.69,1
156,Teach Children,Books,Children,Initech,22.7,38.53,1
157,This Decor,Home & Garden,Decor,Acme,61.46,96.05,1
158,Whose Team Sport,Sports,Team Sports,Initech,81.69,131.3,1
159,Another Women,Apparel,Women,Stark,49.29,85.11,1
160,Bag Kitchen,Home & Garden,Kitchen,Umbrella,54.91,102.67,1
161,Write Pantry,Grocery,Pantry,Stark,30.85,44.2,1
162,Live Beverage,Grocery,Beverages,Stark,68.76,98.77,1
163,Teach Board Game,Toys,Board Games,Stark,97.0,192.3,1
164,Minute Pantry,Grocery,Pantry,Wayne,76.78,119.6,0
165,Goal Makeup,Beauty,Makeup,Globex,71.02,131.59,1
166,Popular Non-Fiction,Books,Non-Fiction,Acme,78.76,115.61,1
167,Bank Audio,Electronics,Audio,Umbrella,18.1,33.98,1
168,Make Fitnes,Sports,Fitness,Initech,67.16,105.48,1
169,Rich Outdoor,Home & Garden,Outdoor,Stark,4.57,5.96,1
170,Father Beverage,Grocery,Beverages,Acme,44.59,67.43,1
171,Suggest Outdoor,Home & Garden,Outdoor,Wayne,7.15,10.1,1
172,Office Beverage,Grocery,Beverages,Wayne,22.65,37.43,1
173,Quite Fiction,Books,Fiction,Initech,54.4,102.83,1
174,Personal Accessorie,Electronics,Accessories,Initech,5.87,10.13,1
175,Always Fiction,Books,Fiction,Globex,64.2,104.43,1
176,Plan Snack,Grocery,Snacks,Hooli,13.12,22.23,1
177,Without Beverage,Grocery,Beverages,Initech,54.16,107.76,1
178,Could Footwear,Apparel,Footwear,Acme,55.81,94.98,1
179,Decide Pantry,Grocery,Pantry,Initech,69.05,115.07,1
180,Throw Audio,Electronics,Audio,Initech,73.51,103.97,1
181,Order Makeup,Beauty,Makeup,Hooli,34.28,66.85,1
182,Stock Footwear,Apparel,Footwear,Stark,60.89,85.84,1
183,Ten Children,Books,Children,Acme,45.96,66.73,1
184,Do Team Sport,Sports,Team Sports,Wayne,57.2,74.54,1
185,Issue Makeup,Beauty,Makeup,Acme,91.11,181.33,1
186,Upon Haircare,Beauty,Haircare,Wayne,26.93,39.82,1
187,Adult Children,Books,Children,Initech,64.54,101.38,1
188,School Men,Apparel,Men,Hooli,43.97,70.17,1
189,Foot Board Game,Toys,Board Games,Stark,61.77,105.29,1
190,Put Accessorie,Electronics,Accessories,Umbrella,73.31,95.75,1
191,Fast Kitchen,Home & Garden,Kitchen,Soylent,71.49,135.02,1
192,Memory Pantry,Grocery,Pantry,Soylent,88.06,146.89,1
193,Affect Kid,Apparel,Kids,Globex,79.29,120.84,1
194,Majority Fiction,Books,Fiction,Initech,72.3,108.35,0
195,She Footwear,Apparel,Footwear,Initech,67.86,106.63,1
196,Soldier Haircare,Beauty,Haircare,Globex,27.45,39.46,1
197,Professor Outdoor,Home & Garden,Outdoor,Wayne,24.93,46.5,1
198,After Non-Fiction,Books,Non-Fiction,Stark,45.17,59.73,1
199,Kind Children,Books,Children,Stark,29.6,57.45,1
200,Lead Kid,Apparel,Kids,Hooli,45.9,69.13,1
201,Approach Children,Books,Children,Wayne,67.23,127.05,1
202,Short Action Figure,Toys,Action Figures,Stark,67.41,101.82,1
203,Her Beverage,Grocery,Beverages,Acme,47.08,81.31,0
204,Mind Decor,Home & Garden,Decor,Stark,98.32,156.72,1
205,Practice Phone,Electronics,Phones,Globex,33.5,61.69,1
206,Husband Outdoor,Home & Garden,Outdoor,Hooli,72.58,141.49,1
207,War Fitnes,Sports,Fitness,Hooli,62.77,116.91,1
208,Full Board Game,Toys,Board Games,Hooli,88.47,141.22,1
209,Career Beverage,Grocery,Beverages,Wayne,98.35,132.01,1
210,Marriage Non-Fiction,Books,Non-Fiction,Stark,65.22,87.15,1
211,Describe Kid,Apparel,Kids,Hooli,83.75,142.86,1
212,Participant Outdoor Rec,Sports,Outdoor Rec,Acme,38.47,67.45,1
213,Throughout Women,Apparel,Women,Stark,82.73,131.44,1
214,Story Accessorie,Electronics,Accessories,Acme,10.32,17.79,1
215,Study Men,Apparel,Men,Hooli,7.55,10.38,1
216,Trade Action Figure,Toys,Action Figures,Umbrella,35.96,54.58,1
217,Treat Footwear,Apparel,Footwear,Hooli,88.85,169.57,1
218,Onto Children,Books,Children,Initech,31.92,58.47,1
219,Employee Audio,Electronics,Audio,Wayne,20.55,36.99,1
220,Avoid Children,Books,Children,Soylent,93.27,134.15,1
221,Side Fitnes,Sports,Fitness,Wayne,13.57,27.06,1
222,Beyond Pantry,Grocery,Pantry,Soylent,89.0,118.56,1
223,Collection Snack,Grocery,Snacks,Globex,86.86,162.4,1
224,Sign Skincare,Beauty,Skincare,Acme,65.02,100.8,1
225,Throughout Decor,Home & Garden,Decor,Stark,97.94,195.47,1
226,Gas Haircare,Beauty,Haircare,Hooli,43.15,60.33,1
227,Person Educational,Toys,Educational,Stark,85.19,168.78,1
228,Most Children,Books,Children,Hooli,85.43,115.82,1
229,Travel Board Game,Toys,Board Games,Soylent,58.58,90.6,1
230,Cold Non-Fiction,Books,Non-Fiction,Acme,57.69,104.83,1
231,Chair Kid,Apparel,Kids,Initech,88.52,125.22,1
232,Whole Phone,Electronics,Phones,Umbrella,41.74,81.77,1
233,Team Outdoor Rec,Sports,Outdoor Rec,Soylent,96.72,134.8,1
234,Bed Makeup,Beauty,Makeup,Umbrella,65.41,98.19,1
235,Myself Kitchen,Home & Garden,Kitchen,Hooli,36.47,59.07,1
236,Seat Children,Books,Children,Acme,65.42,97.98,1
237,Piece Non-Fiction,Books,Non-Fiction,Hooli,15.56,27.16,1
238,North Fiction,Books,Fiction,Umbrella,79.35,146.99,1
239,List Skincare,Beauty,Skincare,Soylent,57.6,75.29,1
240,Street Men,Apparel,Men,Stark,6.12,10.41,1
241,Across Decor,Home & Garden,Decor,Hooli,59.16,87.16,1
242,Break Furniture,Home & Garden,Furniture,Wayne,15.48,21.5,1
243,Lay Fiction,Books,Fiction,Initech,96.85,184.66,1
244,Clearly Men,Apparel,Men,Globex,36.21,56.29,1
245,Result Skincare,Beauty,Skincare,Hooli,28.66,57.08,1
246,Film Women,Apparel,Women,Umbrella,99.41,144.75,1
247,Return Skincare,Beauty,Skincare,Acme,72.52,118.0,1
248,Environmental Accessorie,Electronics,Accessories,Umbrella,85.77,124.5,1
249,Exist Skincare,Beauty,Skincare,Stark,34.3,55.39,1
250,Guy Accessorie,Electronics,Accessories,Globex,23.3,41.56,1
251,Avoid Furniture,Home & Garden,Furniture,Initech,64.81,120.28,1
252,Individual Furniture,Home & Garden,Furniture,Wayne,97.3,161.29,1
253,Political Children,Books,Children,Soylent,52.01,75.53,1
254,Yes Fiction,Books,Fiction,Acme,50.3,78.41,1
255,Its Board Game,Toys,Board Games,Initech,72.99,127.51,1
256,Beautiful Fitnes,Sports,Fitness,Stark,46.05,65.64,1
257,Dinner Fitnes,Sports,Fitness,Acme,44.46,71.9,0
258,Middle Children,Books,Children,Soylent,53.95,79.78,1
259,Address Team Sport,Sports,Team Sports,Soylent,61.61,102.39,1
260,Either Decor,Home & Garden,Decor,Umbrella,63.17,109.61,1
261,Every Kid,Apparel,Kids,Umbrella,38.11,56.68,0
262,All Action Figure,Toys,Action Figures,Initech,97.39,187.3,1
263,That Snack,Grocery,Snacks,Hooli,75.01,98.45,1
264,Number Educational,Toys,Educational,Wayne,33.62,60.73,1
265,Relationship Makeup,Beauty,Makeup,Soylent,85.67,143.96,0
266,Father Board Game,Toys,Board Games,Umbrella,35.15,51.2,1
267,Police Children,Books,Children,Umbrella,94.26,137.56,1
268,May Non-Fiction,Books,Non-Fiction,Hooli,89.98,172.39,1
269,Near Non-Fiction,Books,Non-Fiction,Globex,38.0,50.75,1
270,Future Phone,Electronics,Phones,Stark,19.64,32.8,1
271,Down Board Game,Toys,Board Games,Soylent,68.02,124.39,1
272,Campaign Audio,Electronics,Audio,Wayne,14.7,20.4,1
273,Friend Accessorie,Electronics,Accessories,Acme,21.75,37.62,1
274,Sell Team Sport,Sports,Team Sports,Umbrella,83.96,131.66,1
275,Another Children,Books,Children,Initech,58.83,110.58,1
276,Such Non-Fiction,Books,Non-Fiction,Initech,68.53,127.15,1
277,Tv Non-Fiction,Books,Non-Fiction,Wayne,21.86,29.59,1
278,Chair Skincare,Beauty,Skincare,Acme,55.29,77.06,1
279,Process Children,Books,Children,Stark,21.7,29.68,1
280,Lose Skincare,Beauty,Skincare,Stark,60.59,102.71,1
281,Provide Snack,Grocery,Snacks,Stark,64.4,113.88,1
282,Film Outdoor,Home & Garden,Outdoor,Wayne,46.34,81.81,1
283,Effort Outdoor Rec,Sports,Outdoor Rec,Acme,64.71,108.04,1
284,Order Audio,Electronics,Audio,Initech,68.37,131.75,1
285,Either Men,Apparel,Men,Hooli,93.96,128.04,1
286,Writer Accessorie,Electronics,Accessories,Stark,37.45,51.45,1
287,Police Action Figure,Toys,Action Figures,Hooli,44.67,86.58,1
288,Send Children,Books,Children,Globex,39.51,51.63,1
289,Understand Audio,Electronics,Audio,Globex,25.76,51.43,1
290,Business Outdoor,Home & Garden,Outdoor,Hooli,66.44,102.29,1
291,Tough Non-Fiction,Books,Non-Fiction,Hooli,43.67,76.41,1
292,Order Fiction,Books,Fiction,Soylent,73.34,125.53,1
293,Blood Skincare,Beauty,Skincare,Hooli,77.16,118.54,1
294,Return Laptop,Electronics,Laptops,Stark,26.41,35.34,1
295,Sit Pantry,Grocery,Pantry,Soylent,21.02,31.9,1
296,Husband Snack,Grocery,Snacks,Wayne,84.26,165.62,1
297,He Fiction,Books,Fiction,Wayne,84.13,155.92,1
298,Fall Skincare,Beauty,Skincare,Soylent,55.69,72.4,1
299,Forward Footwear,Apparel,Footwear,Hooli,17.45,25.16,1
300,Perhaps Accessorie,Electronics,Accessories,Hooli,13.82,26.11,1
301,Fast Pantry,Grocery,Pantry,Soylent,8.29,13.29,1
302,Whose Audio,Electronics,Audio,Soylent,14.49,23.5,1
303,Notice Pantry,Grocery,Pantry,Stark,22.66,38.89,1
304,Agent Accessorie,Electronics,Accessories,Stark,68.29,115.04,1
305,Item Women,Apparel,Women,Umbrella,17.51,33.34,1
306,Center Children,Books,Children,Soylent,53.16,95.61,1
307,Around Kitchen,Home & Garden,Kitchen,Hooli,78.44,126.97,0
308,Participant Pantry,Grocery,Pantry,Soylent,69.6,139.02,0
309,Remain Decor,Home & Garden,Decor,Acme,4.18,7.71,1
310,Four Fiction,Books,Fiction,Wayne,90.24,133.57,1
311,Success Educational,Toys,Educational,Umbrella,14.22,28.38,1
312,Catch Furniture,Home & Garden,Furniture,Soylent,9.37,14.33,1
313,Sing Kid,Apparel,Kids,Initech,4.72,6.66,1
314,Some Beverage,Grocery,Beverages,Globex,94.01,164.5,1
315,Miss Fiction,Books,Fiction,Stark,43.75,66.86,1
316,Positive Decor,Home & Garden,Decor,Hooli,67.08,104.75,1
317,Good Children,Books,Children,Globex,11.32,16.48,1
318,Month Women,Apparel,Women,Acme,39.98,68.21,1
319,Writer Children,Books,Children,Stark,7.67,12.29,1
320,Protect Skincare,Beauty,Skincare,Globex,77.69,138.11,1
321,Tell Outdoor Rec,Sports,Outdoor Rec,Globex,27.73,39.07,0
322,Indicate Women,Apparel,Women,Acme,45.1,85.21,1
323,Artist Pantry,Grocery,Pantry,Globex,7.85,12.53,1
324,List Makeup,Beauty,Makeup,Hooli,86.43,138.31,1
325,Close Snack,Grocery,Snacks,Initech,12.97,23.75,1
326,Health Skincare,Beauty,Skincare,Soylent,97.12,154.08,1
327,Ask Audio,Electronics,Audio,Wayne,74.82,136.23,1
328,Thought Haircare,Beauty,Haircare,Soylent,4.13,7.17,1
329,Traditional Board Game,Toys,Board Games,Acme,49.96,74.91,1
330,Want Laptop,Electronics,Laptops,Hooli,11.1,14.93,1
331,Physical Board Game,Toys,Board Games,Initech,57.16,91.72,1
332,Customer Haircare,Beauty,Haircare,Globex,93.2,148.52,1
333,Customer Board Game,Toys,Board Games,Wayne,93.42,133.29,1
334,Provide Phone,Electronics,Phones,Hooli,3.97,7.55,1
335,Reduce Haircare,Beauty,Haircare,Soylent,84.0,167.02,1
336,Seem Children,Books,Children,Wayne,76.7,102.66,1
337,Discuss Outdoor,Home & Garden,Outdoor,Wayne,52.1,76.29,1
338,Story Skincare,Beauty,Skincare,Initech,70.33,104.04,1
339,Age Phone,Electronics,Phones,Wayne,14.71,25.79,1
340,Choose Skincare,Beauty,Skincare,Globex,68.2,106.36,1
341,Apply Action Figure,Toys,Action Figures,Umbrella,81.18,119.65,1
342,Talk Laptop,Electronics,Laptops,Soylent,62.15,91.33,1
343,Key Kitchen,Home & Garden,Kitchen,Umbrella,17.52,34.8,1
344,Speech Team Sport,Sports,Team Sports,Umbrella,70.77,96.76,1
345,Officer Children,Books,Children,Hooli,88.93,135.9,1
346,Cultural Accessorie,Electronics,Accessories,Acme,22.14,32.23,1
347,Success Haircare,Beauty,Haircare,Acme,34.59,52.86,0
348,Change Haircare,Beauty,Haircare,Acme,19.56,37.65,1
349,Add Outdoor,Home & Garden,Outdoor,Soylent,21.16,38.39,1
350,Full Outdoor Rec,Sports,Outdoor Rec,Hooli,75.67,99.61,1
351,Difficult Kitchen,Home & Garden,Kitchen,Umbrella,87.29,171.63,1
352,Stock Audio,Electronics,Audio,Initech,37.15,51.75,1
353,Take Outdoor Rec,Sports,Outdoor Rec,Soylent,67.45,133.58,1
354,Mrs Phone,Electronics,Phones,Initech,11.18,16.08,1
355,Fear Children,Books,Children,Stark,5.37,9.9,1
356,Great Makeup,Beauty,Makeup,Hooli,49.25,75.66,1
357,Strategy Snack,Grocery,Snacks,Soylent,74.4,101.39,0
358,Color Fiction,Books,Fiction,Wayne,53.93,102.64,1
359,Only Furniture,Home & Garden,Furniture,Umbrella,80.42,144.2,0
360,Brother Beverage,Grocery,Beverages,Umbrella,46.93,85.57,1
361,Design Non-Fiction,Books,Non-Fiction,Globex,29.17,43.8,1
362,Enough Action Figure,Toys,Action Figures,Acme,18.0,25.53,1
363,Page Team Sport,Sports,Team Sports,Stark,77.85,146.5,1
364,Management Outdoor,Home & Garden,Outdoor,Soylent,14.84,24.67,1
365,My Snack,Grocery,Snacks,Umbrella,91.84,147.2,1
366,Free Makeup,Beauty,Makeup,Umbrella,10.2,20.05,1
367,Test Decor,Home & Garden,Decor,Hooli,9.85,13.81,1
368,Tell Outdoor,Home & Garden,Outdoor,Globex,52.16,93.41,1
369,Likely Team Sport,Sports,Team Sports,Wayne,66.14,115.33,1
370,Woman Board Game,Toys,Board Games,Initech,95.49,174.64,1
371,From Accessorie,Electronics,Accessories,Umbrella,62.51,84.47,1
372,Tree Accessorie,Electronics,Accessories,Globex,76.97,128.36,1
373,Citizen Accessorie,Electronics,Accessories,Initech,12.65,21.72,1
374,Though Outdoor Rec,Sports,Outdoor Rec,Hooli,41.82,61.52,1
375,Throw Board Game,Toys,Board Games,Stark,67.25,100.9,1
376,What Fiction,Books,Fiction,Initech,78.62,148.46,1
377,Dog Non-Fiction,Books,Non-Fiction,Umbrella,85.81,124.31,1
378,Check Men,Apparel,Men,Stark,69.34,114.62,1
379,Huge Haircare,Beauty,Haircare,Soylent,26.35,48.48,1
380,However Non-Fiction,Books,Non-Fiction,Stark,95.98,150.02,1
381,Bed Men,Apparel,Men,Soylent,9.37,15.63,1
382,Alone Furniture,Home & Garden,Furniture,Umbrella,72.2,128.86,1
383,Determine Outdoor,Home & Garden,Outdoor,Stark,37.61,67.1,1
384,Oil Fitnes,Sports,Fitness,Initech,15.72,22.77,1
385,Clearly Footwear,Apparel,Footwear,Initech,79.3,104.03,1
386,Budget Outdoor,Home & Garden,Outdoor,Globex,86.03,143.51,1
387,By Board Game,Toys,Board Games,Umbrella,81.76,107.67,1
388,Network Skincare,Beauty,Skincare,Soylent,39.96,55.59,1
389,Itself Snack,Grocery,Snacks,Acme,56.66,96.12,1
390,Consumer Fitnes,Sports,Fitness,Globex,93.62,122.93,1
391,Account Kitchen,Home & Garden,Kitchen,Initech,9.25,14.6,1
392,South Phone,Electronics,Phones,Acme,23.89,38.56,1
393,Front Kid,Apparel,Kids,Stark,3.47,6.61,1
394,Study Snack,Grocery,Snacks,Hooli,86.93,127.38,1
395,Something Non-Fiction,Books,Non-Fiction,Acme,16.85,27.7,1
396,Animal Makeup,Beauty,Makeup,Acme,7.71,13.87,1
397,Remember Outdoor Rec,Sports,Outdoor Rec,Umbrella,69.46,133.33,1
398,Career Team Sport,Sports,Team Sports,Initech,5.64,11.1,1
399,Hot Educational,Toys,Educational,Stark,6.46,12.21,1
400,Student Footwear,Apparel,Footwear,Wayne,26.69,51.11,1
401,Total Educational,Toys,Educational,Acme,23.07,40.61,1
402,From Fiction,Books,Fiction,Initech,8.35,15.91,1
403,Attorney Accessorie,Electronics,Accessories,Umbrella,33.01,57.65,1
404,Eight Beverage,Grocery,Beverages,Acme,35.73,52.36,1
405,Anyone Snack,Grocery,Snacks,Wayne,67.11,111.55,1
406,Until Fitnes,Sports,Fitness,Acme,61.69,105.59,1
407,Organization Audio,Electronics,Audio,Hooli,12.89,18.03,1
408,Someone Phone,Electronics,Phones,Umbrella,72.2,115.62,1
409,Professional Makeup,Beauty,Makeup,Acme,38.18,75.43,1
410,Peace Haircare,Beauty,Haircare,Wayne,90.69,141.4,1
