rate_date,base_currency,quote_currency,rate
2024-03-22,USD,EGP,48.444558
2024-03-23,USD,EUR,0.923418
2024-03-23,USD,GBP,0.794986
2024-03-23,USD,EGP,48.33788
2024-03-24,USD,EUR,0.919018
2024-03-24,USD,GBP,0.789777
2024-03-24,USD,EGP,48.29641
2024-03-25,USD,EUR,0.922672
2024-03-25,USD,GBP,0.784465
2024-03-25,USD,EGP,48.190058
2024-03-26,USD,EUR,0.927055
2024-03-26,USD,GBP,0.783179
2024-03-26,USD,EGP,48.138572
2024-03-27,USD,EUR,0.922989
2024-03-27,USD,GBP,0.797897
2024-03-27,USD,EGP,48.548303
2024-03-28,USD,EUR,0.925949
2024-03-28,USD,GBP,0.785909
2024-03-28,USD,EGP,48.39352
2024-03-29,USD,EUR,0.925737
2024-03-29,USD,GBP,0.79778
2024-03-29,USD,EGP,48.619969
2024-03-30,USD,EUR,0.915381
2024-03-30,USD,GBP,0.791384
2024-03-30,USD,EGP,48.636901
2024-03-31,USD,EUR,0.920448
2024-03-31,USD,GBP,0.788263
2024-03-31,USD,EGP,48.515469
2024-04-01,USD,EUR,0.924671
2024-04-01,USD,GBP,0.78536
2024-04-01,USD,EGP,48.5753
2024-04-02,USD,EUR,0.925182
2024-04-02,USD,GBP,0.796202
2024-04-02,USD,EGP,48.510161
2024-04-03,USD,EUR,0.924728
2024-04-03,USD,GBP,0.788846
2024-04-03,USD,EGP,48.47496
2024-04-04,USD,EUR,0.927373
2024-04-04,USD,GBP,0.785095
2024-04-04,USD,EGP,48.066732
2024-04-05,USD,EUR,0.913443
2024-04-05,USD,GBP,0.796553
2024-04-05,USD,EGP,48.395602
2024-04-06,USD,EUR,0.922027
2024-04-06,USD,GBP,0.78647
2024-04-06,USD,EGP,48.562045
2024-04-07,USD,EUR,0.928785
2024-04-07,USD,GBP,0.793575
2024-04-07,USD,EGP,48.598841
2024-04-08,USD,EUR,0.917785
2024-04-08,USD,GBP,0.796794
2024-04-08,USD,EGP,48.042254
2024-04-09,USD,EUR,0.916263
2024-04-09,USD,GBP,0.790386
2024-04-09,USD,EGP,48.959438
2024-04-10,USD,EUR,0.925821
2024-04-10,USD,GBP,0.784423
2024-04-10,USD,EGP,48.834232
2024-04-11,USD,EUR,0.916155
2024-04-11,USD,GBP,0.793484
2024-04-11,USD,EGP,48.33665
2024-04-12,USD,EUR,0.927281
2024-04-12,USD,GBP,0.796668
2024-04-12,USD,EGP,48.587547
2024-04-13,USD,EUR,0.919994
2024-04-13,USD,GBP,0.797678
2024-04-13,USD,EGP,48.274876
2024-04-14,USD,EUR,0.91633
2024-04-14,USD,GBP,0.796445
2024-04-14,USD,EGP,48.95577
2024-04-15,USD,EUR,0.912311
2024-04-15,USD,GBP,0.7936
2024-04-15,USD,EGP,48.67879
2024-04-16,USD,EUR,0.925459
2024-04-16,USD,GBP,0.79296
2024-04-16,USD,EGP,48.056593
2024-04-17,USD,EUR,0.928222
2024-04-17,USD,GBP,0.789345
2024-04-17,USD,EGP,48.583332
2024-04-18,USD,EUR,0.923413
2024-04-18,USD,GBP,0.79517
2024-04-18,USD,EGP,48.586225
2024-04-19,USD,EUR,0.912494
2024-04-19,USD,GBP,0.783364
2024-04-19,USD,EGP,48.149236
2024-04-20,USD,EUR,0.914143
2024-04-20,USD,GBP,0.79398
2024-04-20,USD,EGP,48.345997
2024-04-21,USD,EUR,0.912573
2024-04-21,USD,GBP,0.784288
2024-04-21,USD,EGP,48.679212
2024-04-22,USD,EUR,0.917313
2024-04-22,USD,GBP,0.785421
2024-04-22,USD,EGP,48.509339
2024-04-23,USD,EUR,0.91139
2024-04-23,USD,GBP,0.786692
2024-04-23,USD,EGP,48.119929
2024-04-24,USD,EUR,0.917934
2024-04-24,USD,GBP,0.787344
2024-04-24,USD,EGP,48.981358
2024-04-25,USD,EUR,0.919789
2024-04-25,USD,GBP,0.782119
2024-04-25,USD,EGP,48.536302
2024-04-26,USD,EUR,0.927471
2024-04-26,USD,GBP,0.789971
2024-04-26,USD,EGP,48.375635
2024-04-27,USD,EUR,0.922107
2024-04-27,USD,GBP,0.793964
2024-04-27,USD,EGP,48.214473
2024-04-28,USD,EUR,0.913715
2024-04-28,USD,GBP,0.793561
2024-04-28,USD,EGP,48.040786
2024-04-29,USD,EUR,0.915251
2024-04-29,USD,GBP,0.79411
2024-04-29,USD,EGP,48.465365
2024-04-30,USD,EUR,0.924544
2024-04-30,USD,GBP,0.785889
2024-04-30,USD,EGP,48.428371
2024-05-01,USD,EUR,0.928374
2024-05-01,USD,GBP,0.796014
2024-05-01,USD,EGP,48.31529
2024-05-02,USD,EUR,0.915808
2024-05-02,USD,GBP,0.792146
2024-05-02,USD,EGP,48.090299
2024-05-03,USD,EUR,0.911938
2024-05-03,USD,GBP,0.794827
2024-05-03,USD,EGP,48.217596
2024-05-04,USD,EUR,0.914816
2024-05-04,USD,GBP,0.785765
2024-05-04,USD,EGP,48.918742
2024-05-05,USD,EUR,0.925668
2024-05-05,USD,GBP,0.794914
2024-05-05,USD,EGP,48.250425
2024-05-06,USD,EUR,0.923961
2024-05-06,USD,GBP,0.797245
2024-05-06,USD,EGP,48.481671
2024-05-07,USD,EUR,0.911814
2024-05-07,USD,GBP,0.787717
2024-05-07,USD,EGP,48.347569
2024-05-08,USD,EUR,0.914002
2024-05-08,USD,GBP,0.791911
2024-05-08,USD,EGP,48.873885
2024-05-09,USD,EUR,0.915908
2024-05-09,USD,GBP,0.787492
2024-05-09,USD,EGP,48.945972
2024-05-10,USD,EUR,0.91852
2024-05-10,USD,GBP,0.784447
2024-05-10,USD,EGP,48.278292
2024-05-11,USD,EUR,0.912514
2024-05-11,USD,GBP,0.784252
2024-05-11,USD,EGP,48.660344
2024-05-12,USD,EUR,0.912271
2024-05-12,USD,GBP,0.78772
2024-05-12,USD,EGP,48.96603
2024-05-13,USD,EUR,0.928134
2024-05-13,USD,GBP,0.790029
2024-05-13,USD,EGP,48.519108
2024-05-14,USD,EUR,0.924332
2024-05-14,USD,GBP,0.784761
2024-05-14,USD,EGP,48.214823
2024-05-15,USD,EUR,0.91958
2024-05-15,USD,GBP,0.783988
2024-05-15,USD,EGP,48.122736
2024-05-16,USD,EUR,0.927786
2024-05-16,USD,GBP,0.79424
2024-05-16,USD,EGP,48.468347
2024-05-17,USD,EUR,0.922999
2024-05-17,USD,GBP,0.789218
2024-05-17,USD,EGP,48.071739
2024-05-18,USD,EUR,0.919967
2024-05-18,USD,GBP,0.791893
2024-05-18,USD,EGP,48.669415
2024-05-19,USD,EUR,0.928696
2024-05-19,USD,GBP,0.792401
2024-05-19,USD,EGP,48.643101
2024-05-20,USD,EUR,0.926286
2024-05-20,USD,GBP,0.786842
2024-05-20,USD,EGP,48.885715
2024-05-21,USD,EUR,0.925853
2024-05-21,USD,GBP,0.786847
2024-05-21,USD,EGP,48.815951
2024-05-22,USD,EUR,0.919428
2024-05-22,USD,GBP,0.792435
2024-05-22,USD,EGP,48.949854
2024-05-23,USD,EUR,0.912077
2024-05-23,USD,GBP,0.785743
2024-05-23,USD,EGP,48.121871
2024-05-24,USD,EUR,0.925672
2024-05-24,USD,GBP,0.793055
2024-05-24,USD,EGP,48.417759
2024-05-25,USD,EUR,0.920486
2024-05-25,USD,GBP,0.789786
2024-05-25,USD,EGP,48.128603
2024-05-26,USD,EUR,0.911563
2024-05-26,USD,GBP,0.786816
2024-05-26,USD,EGP,48.390588
2024-05-27,USD,EUR,0.91624
2024-05-27,USD,GBP,0.791602
2024-05-27,USD,EGP,48.793309
2024-05-28,USD,EUR,0.927103
2024-05-28,USD,GBP,0.791136
2024-05-28,USD,EGP,48.286365
2024-05-29,USD,EUR,0.918665
2024-05-29,USD,GBP,0.78663
2024-05-29,USD,EGP,48.513143
2024-05-30,USD,EUR,0.923841
2024-05-30,USD,GBP,0.794858
2024-05-30,USD,EGP,48.791307
2024-05-31,USD,EUR,0.911068
2024-05-31,USD,GBP,0.795639
2024-05-31,USD,EGP,48.553146
2024-06-01,USD,EUR,0.917147
2024-06-01,USD,GBP,0.79335
2024-06-01,USD,EGP,48.146184
2024-06-02,USD,EUR,0.914303
2024-06-02,USD,GBP,0.785062
2024-06-02,USD,EGP,48.793792
2024-06-03,USD,EUR,0.917239
2024-06-03,USD,GBP,0.795347
2024-06-03,USD,EGP,48.491149
2024-06-04,USD,EUR,0.912105
2024-06-04,USD,GBP,0.784543
2024-06-04,USD,EGP,48.311525
2024-06-05,USD,EUR,0.912832
2024-06-05,USD,GBP,0.782206
2024-06-05,USD,EGP,48.243272
2024-06-06,USD,EUR,0.925175
2024-06-06,USD,GBP,0.794963
2024-06-06,USD,EGP,48.916467
2024-06-07,USD,EUR,0.9203
2024-06-07,USD,GBP,0.795399
2024-06-07,USD,EGP,48.045081
2024-06-08,USD,EUR,0.915389
2024-06-08,USD,GBP,0.797519
2024-06-08,USD,EGP,48.920758
2024-06-09,USD,EUR,0.927192
2024-06-09,USD,GBP,0.793382
2024-06-09,USD,EGP,48.313337
2024-06-10,USD,EUR,0.928543
2024-06-10,USD,GBP,0.782761
2024-06-10,USD,EGP,48.644198
2024-06-11,USD,EUR,0.925968
2024-06-11,USD,GBP,0.791245
2024-06-11,USD,EGP,48.616884
2024-06-12,USD,EUR,0.924198
2024-06-12,USD,GBP,0.792896
2024-06-12,USD,EGP,48.12849
2024-06-13,USD,EUR,0.925919
2024-06-13,USD,GBP,0.792576
2024-06-13,USD,EGP,48.807829
2024-06-14,USD,EUR,0.91486
2024-06-14,USD,GBP,0.792561
2024-06-14,USD,EGP,48.704886
2024-06-15,USD,EUR,0.917157
2024-06-15,USD,GBP,0.784368
2024-06-15,USD,EGP,48.578716
2024-06-16,USD,EUR,0.925303
2024-06-16,USD,GBP,0.78482
2024-06-16,USD,EGP,48.878015
2024-06-17,USD,EUR,0.926662
2024-06-17,USD,GBP,0.796046
2024-06-17,USD,EGP,48.973192
2024-06-18,USD,EUR,0.919477
2024-06-18,USD,GBP,0.792946
2024-06-18,USD,EGP,48.946717
2024-06-19,USD,EUR,0.911538
2024-06-19,USD,GBP,0.795878
2024-06-19,USD,EGP,48.188418
2024-06-20,USD,EUR,0.928982
2024-06-20,USD,GBP,0.787771
2024-06-20,USD,EGP,48.142319
2024-06-21,USD,EUR,0.913869
2024-06-21,USD,GBP,0.79066
2024-06-21,USD,EGP,48.242986
2024-06-22,USD,EUR,0.92402
2024-06-22,USD,GBP,0.788159
2024-06-22,USD,EGP,48.758348
2024-06-23,USD,EUR,0.920536
2024-06-23,USD,GBP,0.790448
2024-06-23,USD,EGP,48.297722
2024-06-24,USD,EUR,0.917847
2024-06-24,USD,GBP,0.795519
2024-06-24,USD,EGP,48.12804
2024-06-25,USD,EUR,0.926425
2024-06-25,USD,GBP,0.795759
2024-06-25,USD,EGP,48.292428
2024-06-26,USD,EUR,0.926685
2024-06-26,USD,GBP,0.784965
2024-06-26,USD,EGP,48.799583
2024-06-27,USD,EUR,0.92597
2024-06-27,USD,GBP,0.796271
2024-06-27,USD,EGP,48.610434
2024-06-28,USD,EUR,0.912633
2024-06-28,USD,GBP,0.784024
2024-06-28,USD,EGP,48.487477
2024-06-29,USD,EUR,0.921246
2024-06-29,USD,GBP,0.794591
2024-06-29,USD,EGP,48.421153
2024-06-30,USD,EUR,0.911873
2024-06-30,USD,GBP,0.788466
2024-06-30,USD,EGP,48.529928
2024-07-01,USD,EUR,0.924189
2024-07-01,USD,GBP,0.787868
2024-07-01,USD,EGP,48.710462
2024-07-02,USD,EUR,0.925131
2024-07-02,USD,GBP,0.784988
2024-07-02,USD,EGP,48.934705
2024-07-03,USD,EUR,0.914422
2024-07-03,USD,GBP,0.788811
2024-07-03,USD,EGP,48.246466
2024-07-04,USD,EUR,0.928967
2024-07-04,USD,GBP,0.782941
2024-07-04,USD,EGP,48.683058
2024-07-05,USD,EUR,0.927355
2024-07-05,USD,GBP,0.787476
2024-07-05,USD,EGP,48.397103
2024-07-06,USD,EUR,0.928598
2024-07-06,USD,GBP,0.785248
2024-07-06,USD,EGP,48.734732
2024-07-07,USD,EUR,0.925237
2024-07-07,USD,GBP,0.797129
2024-07-07,USD,EGP,48.920179
2024-07-08,USD,EUR,0.923588
2024-07-08,USD,GBP,0.787622
2024-07-08,USD,EGP,48.833984
2024-07-09,USD,EUR,0.915867
2024-07-09,USD,GBP,0.783491
2024-07-09,USD,EGP,48.956439
2024-07-10,USD,EUR,0.918665
2024-07-10,USD,GBP,0.794956
2024-07-10,USD,EGP,48.769588
2024-07-11,USD,EUR,0.922497
2024-07-11,USD,GBP,0.787061
2024-07-11,USD,EGP,48.885409
2024-07-12,USD,EUR,0.917821
2024-07-12,USD,GBP,0.788668
2024-07-12,USD,EGP,48.467805
2024-07-13,USD,EUR,0.925028
2024-07-13,USD,GBP,0.796831
2024-07-13,USD,EGP,48.725074
2024-07-14,USD,EUR,0.91548
2024-07-14,USD,GBP,0.791802
2024-07-14,USD,EGP,48.924781
2024-07-15,USD,EUR,0.915916
2024-07-15,USD,GBP,0.793386
2024-07-15,USD,EGP,48.310862
2024-07-16,USD,EUR,0.911119
2024-07-16,USD,GBP,0.796866
2024-07-16,USD,EGP,48.825338
2024-07-17,USD,EUR,0.926199
2024-07-17,USD,GBP,0.783834
2024-07-17,USD,EGP,48.752241
2024-07-18,USD,EUR,0.928524
2024-07-18,USD,GBP,0.786257
2024-07-18,USD,EGP,48.448926
2024-07-19,USD,EUR,0.91579
2024-07-19,USD,GBP,0.79366
2024-07-19,USD,EGP,48.031725
2024-07-20,USD,EUR,0.919535
2024-07-20,USD,GBP,0.790121
2024-07-20,USD,EGP,48.187943
2024-07-21,USD,EUR,0.928443
2024-07-21,USD,GBP,0.784427
2024-07-21,USD,EGP,48.836668
2024-07-22,USD,EUR,0.928124
2024-07-22,USD,GBP,0.792925
2024-07-22,USD,EGP,48.68411
2024-07-23,USD,EUR,0.914907
2024-07-23,USD,GBP,0.788854
2024-07-23,USD,EGP,48.762488
2024-07-24,USD,EUR,0.913826
2024-07-24,USD,GBP,0.793639
2024-07-24,USD,EGP,48.859797
2024-07-25,USD,EUR,0.914647
2024-07-25,USD,GBP,0.785818
2024-07-25,USD,EGP,48.334617
2024-07-26,USD,EUR,0.912927
2024-07-26,USD,GBP,0.78646
2024-07-26,USD,EGP,48.471593
2024-07-27,USD,EUR,0.91825
2024-07-27,USD,GBP,0.789397
2024-07-27,USD,EGP,48.984238
2024-07-28,USD,EUR,0.929176
2024-07-28,USD,GBP,0.789006
2024-07-28,USD,EGP,48.056031
2024-07-29,USD,EUR,0.922787
2024-07-29,USD,GBP,0.782665
2024-07-29,USD,EGP,48.875571
2024-07-30,USD,EUR,0.921812
2024-07-30,USD,GBP,0.795569
2024-07-30,USD,EGP,48.133904
2024-07-31,USD,EUR,0.927309
2024-07-31,USD,GBP,0.78467
2024-07-31,USD,EGP,48.724779
2024-08-01,USD,EUR,0.919992
2024-08-01,USD,GBP,0.793984
2024-08-01,USD,EGP,48.619455
2024-08-02,USD,EUR,0.922309
2024-08-02,USD,GBP,0.785357
2024-08-02,USD,EGP,48.307339
2024-08-03,USD,EUR,0.923031
2024-08-03,USD,GBP,0.783447
2024-08-03,USD,EGP,48.06941
2024-08-04,USD,EUR,0.918064
2024-08-04,USD,GBP,0.791404
2024-08-04,USD,EGP,48.669845
2024-08-05,USD,EUR,0.928534
2024-08-05,USD,GBP,0.796247
2024-08-05,USD,EGP,48.098609
2024-08-06,USD,EUR,0.916689
2024-08-06,USD,GBP,0.793149
2024-08-06,USD,EGP,48.629358
2024-08-07,USD,EUR,0.92324
2024-08-07,USD,GBP,0.782856
2024-08-07,USD,EGP,48.033298
2024-08-08,USD,EUR,0.919649
2024-08-08,USD,GBP,0.789973
2024-08-08,USD,EGP,48.343313
2024-08-09,USD,EUR,0.916844
2024-08-09,USD,GBP,0.797062
2024-08-09,USD,EGP,48.22063
2024-08-10,USD,EUR,0.920165
2024-08-10,USD,GBP,0.794145
2024-08-10,USD,EGP,48.728336
2024-08-11,USD,EUR,0.920949
2024-08-11,USD,GBP,0.796916
2024-08-11,USD,EGP,48.491468
2024-08-12,USD,EUR,0.923041
2024-08-12,USD,GBP,0.790593
2024-08-12,USD,EGP,48.281377
2024-08-13,USD,EUR,0.917942
2024-08-13,USD,GBP,0.796839
2024-08-13,USD,EGP,48.325093
2024-08-14,USD,EUR,0.912739
2024-08-14,USD,GBP,0.785229
2024-08-14,USD,EGP,48.540423
2024-08-15,USD,EUR,0.9153
2024-08-15,USD,GBP,0.787897
2024-08-15,USD,EGP,48.97334
2024-08-16,USD,EUR,0.923244
2024-08-16,USD,GBP,0.795571
2024-08-16,USD,EGP,48.547685
2024-08-17,USD,EUR,0.91648
2024-08-17,USD,GBP,0.791835
2024-08-17,USD,EGP,48.171014
2024-08-18,USD,EUR,0.918214
2024-08-18,USD,GBP,0.786521
2024-08-18,USD,EGP,48.328484
2024-08-19,USD,EUR,0.911645
2024-08-19,USD,GBP,0.789525
2024-08-19,USD,EGP,48.800618
2024-08-20,USD,EUR,0.928494
2024-08-20,USD,GBP,0.789191
2024-08-20,USD,EGP,48.236683
2024-08-21,USD,EUR,0.926816
2024-08-21,USD,GBP,0.792545
2024-08-21,USD,EGP,48.079773
2024-08-22,USD,EUR,0.918569
2024-08-22,USD,GBP,0.785143
2024-08-22,USD,EGP,48.057895
2024-08-23,USD,EUR,0.916219
2024-08-23,USD,GBP,0.793544
2024-08-23,USD,EGP,48.563023
2024-08-24,USD,EUR,0.912326
2024-08-24,USD,GBP,0.789573
2024-08-24,USD,EGP,48.240966
2024-08-25,USD,EUR,0.922337
2024-08-25,USD,GBP,0.790537
2024-08-25,USD,EGP,48.867056
2024-08-26,USD,EUR,0.913837
2024-08-26,USD,GBP,0.792339
2024-08-26,USD,EGP,48.468841
2024-08-27,USD,EUR,0.918499
2024-08-27,USD,GBP,0.794338
2024-08-27,USD,EGP,48.720482
2024-08-28,USD,EUR,0.921941
2024-08-28,USD,GBP,0.791804
2024-08-28,USD,EGP,48.015256
2024-08-29,USD,EUR,0.923591
2024-08-29,USD,GBP,0.786851
2024-08-29,USD,EGP,48.505272
2024-08-30,USD,EUR,0.922139
2024-08-30,USD,GBP,0.788234
2024-08-30,USD,EGP,48.607403
2024-08-31,USD,EUR,0.917413
2024-08-31,USD,GBP,0.788466
2024-08-31,USD,EGP,48.830563
2024-09-01,USD,EUR,0.912363
2024-09-01,USD,GBP,0.793745
